"Data anno corrente","Giorno settimana","Vendite R5","Scontrini R5"
"2017-01-01","Domenica",4841.05,596.0
"2017-01-02","Lunedi",5388.64,706.0
"2017-01-03","Martedi",4973.78,697.0
"2017-01-04","Mercoledi",4911.55,661.0
"2017-01-05","Giovedi",5622.54,755.0
"2017-01-06","Venerdi",5678.27,746.0
"2017-01-07","Sabato",6081.64,829.0
"2017-01-08","Domenica",4902.7,600.0
"2017-01-09","Lunedi",3832.03,560.0
"2017-01-10","Martedi",4060.69,547.0
"2017-01-11","Mercoledi",4080.0,577.0
"2017-01-12","Giovedi",4297.46,572.0
"2017-01-13","Venerdi",6132.79,772.0
"2017-01-14","Sabato",7630.85,957.0
"2017-01-15","Domenica",6686.54,760.0
"2017-01-16","Lunedi",3752.97,555.0
"2017-01-17","Martedi",4204.77,625.0
"2017-01-18","Mercoledi",4237.49,586.0
"2017-01-19","Giovedi",5435.47,734.0
"2017-01-20","Venerdi",6594.98,858.0
"2017-01-21","Sabato",8388.98,1042.0
"2017-01-22","Domenica",6367.82,776.0
"2017-01-23","Lunedi",3649.74,552.0
"2017-01-24","Martedi",4247.98,597.0
"2017-01-25","Mercoledi",4092.26,604.0
"2017-01-26","Giovedi",4901.71,664.0
"2017-01-27","Venerdi",6403.91,814.0
"2017-01-28","Sabato",8058.13,951.0
"2017-01-29","Domenica",6651.06,785.0
"2017-01-30","Lunedi",3871.55,546.0
"2017-01-31","Martedi",4226.09,588.0
"2017-02-01","Mercoledi",4163.53,586.0
"2017-02-02","Giovedi",4244.07,608.0
"2017-02-03","Venerdi",6141.3,816.0
"2017-02-04","Sabato",8544.03,1033.0
"2017-02-05","Domenica",5852.81,692.0
"2017-02-06","Lunedi",3612.31,535.0
"2017-02-07","Martedi",3718.09,571.0
"2017-02-08","Mercoledi",4234.05,616.0
"2017-02-09","Giovedi",4453.38,600.0
"2017-02-10","Venerdi",6520.8,846.0
"2017-02-11","Sabato",7712.31,972.0
"2017-02-12","Domenica",6340.8,733.0
"2017-02-13","Lunedi",3774.33,550.0
"2017-02-14","Martedi",5007.39,693.0
"2017-02-15","Mercoledi",4464.4,619.0
"2017-02-16","Giovedi",4456.06,643.0
"2017-02-17","Venerdi",6110.11,847.0
"2017-02-18","Sabato",8145.88,1083.0
"2017-02-19","Domenica",6720.46,810.0
"2017-02-20","Lunedi",3639.63,572.0
"2017-02-21","Martedi",4181.88,618.0
"2017-02-22","Mercoledi",4178.84,617.0
"2017-02-23","Giovedi",4827.18,698.0
"2017-02-24","Venerdi",6299.21,886.0
"2017-02-25","Sabato",7844.38,1027.0
"2017-02-26","Domenica",6662.84,841.0
"2017-02-27","Lunedi",5062.6,684.0
"2017-02-28","Martedi",5004.8,733.0
"2017-03-01","Mercoledi",4302.65,645.0
"2017-03-02","Giovedi",4947.22,687.0
"2017-03-03","Venerdi",5796.71,807.0
"2017-03-04","Sabato",7221.75,997.0
"2017-03-05","Domenica",6263.74,780.0
"2017-03-06","Lunedi",4105.17,621.0
"2017-03-07","Martedi",3603.06,574.0
"2017-03-08","Mercoledi",5808.82,765.0
"2017-03-09","Giovedi",4476.25,629.0
"2017-03-10","Venerdi",6535.71,899.0
"2017-03-11","Sabato",8380.94,1056.0
"2017-03-12","Domenica",7334.42,894.0
"2017-03-13","Lunedi",3847.89,572.0
"2017-03-14","Martedi",4176.74,620.0
"2017-03-15","Mercoledi",4471.04,629.0
"2017-03-16","Giovedi",4537.77,669.0
"2017-03-17","Venerdi",6389.18,852.0
"2017-03-18","Sabato",7768.65,965.0
"2017-03-19","Domenica",6456.38,760.0
"2017-03-20","Lunedi",4016.23,608.0
"2017-03-21","Martedi",4501.69,630.0
"2017-03-22","Mercoledi",4688.98,653.0
"2017-03-23","Giovedi",4630.94,657.0
"2017-03-24","Venerdi",6668.7,865.0
"2017-03-25","Sabato",8951.5,1070.0
"2017-03-26","Domenica",6909.74,810.0
"2017-03-27","Lunedi",4482.12,633.0
"2017-03-28","Martedi",4404.92,637.0
"2017-03-29","Mercoledi",4827.4,686.0
"2017-03-30","Giovedi",4744.11,706.0
"2017-03-31","Venerdi",6846.3,916.0
"2017-04-01","Sabato",8179.63,1014.0
"2017-04-02","Domenica",6727.32,821.0
"2017-04-03","Lunedi",4108.16,657.0
"2017-04-04","Martedi",4157.14,634.0
"2017-04-05","Mercoledi",4614.3,694.0
"2017-04-06","Giovedi",5044.62,735.0
"2017-04-07","Venerdi",5950.38,821.0
"2017-04-08","Sabato",8539.84,1072.0
"2017-04-09","Domenica",6254.87,757.0
"2017-04-10","Lunedi",4032.92,633.0
"2017-04-11","Martedi",4475.61,618.0
"2017-04-12","Mercoledi",4894.14,679.0
"2017-04-13","Giovedi",5950.7,770.0
"2017-04-14","Venerdi",6084.01,816.0
"2017-04-15","Sabato",7084.22,917.0
"2017-04-16","Domenica",3003.85,345.0
"2017-04-17","Lunedi",5386.79,717.0
"2017-04-18","Martedi",4337.66,624.0
"2017-04-19","Mercoledi",4948.21,643.0
"2017-04-20","Giovedi",5133.27,734.0
"2017-04-21","Venerdi",7184.64,934.0
"2017-04-22","Sabato",8327.5,1055.0
"2017-04-23","Domenica",7036.14,834.0
"2017-04-24","Lunedi",5748.18,850.0
"2017-04-25","Martedi",6378.61,765.0
"2017-04-26","Mercoledi",3716.44,537.0
"2017-04-27","Giovedi",4740.52,678.0
"2017-04-28","Venerdi",6468.9,910.0
"2017-04-29","Sabato",8686.11,1102.0
"2017-04-30","Domenica",6306.43,826.0
"2017-05-01","Lunedi",6063.13,812.0
"2017-05-02","Martedi",3683.47,560.0
"2017-05-03","Mercoledi",4185.03,626.0
"2017-05-04","Giovedi",4911.19,674.0
"2017-05-05","Venerdi",6325.8,829.0
"2017-05-06","Sabato",7749.72,990.0
"2017-05-07","Domenica",5989.47,773.0
"2017-05-08","Lunedi",4222.67,615.0
"2017-05-09","Martedi",4247.97,655.0
"2017-05-10","Mercoledi",4475.11,652.0
"2017-05-11","Giovedi",5663.3,707.0
"2017-05-12","Venerdi",7559.27,964.0
"2017-05-13","Sabato",7629.49,986.0
"2017-05-14","Domenica",6276.69,772.0
"2017-05-15","Lunedi",4476.15,642.0
"2017-05-16","Martedi",4709.5,667.0
"2017-05-17","Mercoledi",4520.48,608.0
"2017-05-18","Giovedi",5335.38,700.0
"2017-05-19","Venerdi",6108.0,845.0
"2017-05-20","Sabato",7831.69,957.0
"2017-05-21","Domenica",6067.06,730.0
"2017-05-22","Lunedi",4233.1,608.0
"2017-05-23","Martedi",5244.97,737.0
"2017-05-24","Mercoledi",4164.21,672.0
"2017-05-25","Giovedi",5479.81,710.0
"2017-05-26","Venerdi",6637.64,907.0
"2017-05-27","Sabato",6955.86,974.0
"2017-05-28","Domenica",5378.79,681.0
"2017-05-29","Lunedi",4246.54,593.0
"2017-05-30","Martedi",4246.61,637.0
"2017-05-31","Mercoledi",4729.4,659.0
"2017-06-01","Giovedi",6158.7,825.0
"2017-06-02","Venerdi",5885.84,784.0
"2017-06-03","Sabato",5919.32,868.0
"2017-06-04","Domenica",5643.61,744.0
"2017-06-05","Lunedi",4253.92,625.0
"2017-06-06","Martedi",4380.06,663.0
"2017-06-07","Mercoledi",4750.84,661.0
"2017-06-08","Giovedi",6339.41,894.0
"2017-06-09","Venerdi",6297.25,861.0
"2017-06-10","Sabato",6668.31,893.0
"2017-06-11","Domenica",5241.31,661.0
"2017-06-12","Lunedi",4634.8,678.0
"2017-06-13","Martedi",4233.97,614.0
"2017-06-14","Mercoledi",4793.7,714.0
"2017-06-15","Giovedi",5302.21,733.0
"2017-06-16","Venerdi",6481.84,880.0
"2017-06-17","Sabato",7338.04,1011.0
"2017-06-18","Domenica",6721.67,780.0
"2017-06-19","Lunedi",4541.86,689.0
"2017-06-20","Martedi",4621.81,648.0
"2017-06-21","Mercoledi",5193.12,742.0
"2017-06-22","Giovedi",5213.44,757.0
"2017-06-23","Venerdi",6316.4,840.0
"2017-06-24","Sabato",7755.95,997.0
"2017-06-25","Domenica",5829.31,764.0
"2017-06-26","Lunedi",5198.61,718.0
"2017-06-27","Martedi",4593.87,685.0
"2017-06-28","Mercoledi",5261.6,706.0
"2017-06-29","Giovedi",5428.18,778.0
"2017-06-30","Venerdi",6562.13,883.0
"2017-07-01","Sabato",8600.97,1204.0
