"Data anno corrente","Giorno settimana","Vendite R1","Scontrini R1"
"2017-01-01","Domenica",7627.12,866.0
"2017-01-02","Lunedi",6987.16,816.0
"2017-01-03","Martedi",6480.88,743.0
"2017-01-04","Mercoledi",6601.46,766.0
"2017-01-05","Giovedi",8447.41,982.0
"2017-01-06","Venerdi",9517.55,1102.0
"2017-01-07","Sabato",12039.22,1454.0
"2017-01-08","Domenica",7616.86,825.0
"2017-01-09","Lunedi",3527.68,451.0
"2017-01-10","Martedi",3640.66,431.0
"2017-01-11","Mercoledi",6192.26,752.0
"2017-01-12","Giovedi",4044.65,494.0
"2017-01-13","Venerdi",5656.47,683.0
"2017-01-14","Sabato",11810.73,1416.0
"2017-01-15","Domenica",9763.07,1034.0
"2017-01-16","Lunedi",3952.51,497.0
"2017-01-17","Martedi",3919.69,488.0
"2017-01-18","Mercoledi",4120.57,506.0
"2017-01-19","Giovedi",4474.33,533.0
"2017-01-20","Venerdi",6031.1,731.0
"2017-01-21","Sabato",10923.73,1375.0
"2017-01-22","Domenica",8071.33,908.0
"2017-01-23","Lunedi",3467.09,445.0
"2017-01-24","Martedi",3968.23,518.0
"2017-01-25","Mercoledi",4143.82,552.0
"2017-01-26","Giovedi",3890.89,495.0
"2017-01-27","Venerdi",6224.46,773.0
"2017-01-28","Sabato",10845.25,1389.0
"2017-01-29","Domenica",7767.09,871.0
"2017-01-30","Lunedi",3854.85,482.0
"2017-01-31","Martedi",3926.68,477.0
"2017-02-01","Mercoledi",4537.3,546.0
"2017-02-02","Giovedi",3646.42,443.0
"2017-02-03","Venerdi",5894.14,725.0
"2017-02-04","Sabato",10220.86,1333.0
"2017-02-05","Domenica",6781.98,797.0
"2017-02-06","Lunedi",3415.47,437.0
"2017-02-07","Martedi",3728.62,464.0
"2017-02-08","Mercoledi",6487.24,816.0
"2017-02-09","Giovedi",4097.64,524.0
"2017-02-10","Venerdi",5942.16,753.0
"2017-02-11","Sabato",10253.45,1348.0
"2017-02-12","Domenica",7543.5,869.0
"2017-02-13","Lunedi",3998.09,499.0
"2017-02-14","Martedi",4863.42,585.0
"2017-02-15","Mercoledi",4550.11,567.0
