"Data anno corrente","Giorno settimana","Vendite R6","Scontrini R6"
"2018-02-08","Giovedi",5570.57,738.0
"2018-02-09","Venerdi",7011.67,861.0
"2018-02-10","Sabato",7095.59,853.0
"2018-02-11","Domenica",6662.74,785.0
"2018-02-12","Lunedi",3665.18,512.0
"2018-02-13","Martedi",3874.61,518.0
"2018-02-14","Mercoledi",4954.75,632.0
"2018-02-15","Giovedi",4131.6,569.0
"2018-02-16","Venerdi",6351.82,894.0
"2018-02-17","Sabato",6176.8,767.0
"2018-02-18","Domenica",5375.0,646.0
"2018-02-19","Lunedi",3930.88,596.0
"2018-02-20","Martedi",4115.43,542.0
"2018-02-21","Mercoledi",4383.54,640.0
"2018-02-22","Giovedi",4261.25,595.0
"2018-02-23","Venerdi",6031.91,787.0
"2018-02-24","Sabato",6514.28,833.0
"2018-02-25","Domenica",4081.97,483.0
"2018-02-26","Lunedi",4707.7,718.0
"2018-02-27","Martedi",5161.67,779.0
"2018-02-28","Mercoledi",5982.83,830.0
"2018-03-01","Giovedi",4578.04,688.0
"2018-03-02","Venerdi",6559.28,940.0
"2018-03-03","Sabato",5610.89,766.0
"2018-03-04","Domenica",5573.9,762.0
"2018-03-05","Lunedi",4409.39,666.0
"2018-03-06","Martedi",4776.47,688.0
"2018-03-07","Mercoledi",4221.44,589.0
"2018-03-08","Giovedi",5990.26,832.0
"2018-03-09","Venerdi",7044.58,928.0
"2018-03-10","Sabato",6610.35,812.0
"2018-03-11","Domenica",5225.3,626.0
"2018-03-12","Lunedi",4173.68,594.0
"2018-03-13","Martedi",4519.44,675.0
"2018-03-14","Mercoledi",4489.56,594.0
"2018-03-15","Giovedi",4941.19,685.0
"2018-03-16","Venerdi",7620.56,1060.0
"2018-03-17","Sabato",6867.98,887.0
"2018-03-18","Domenica",4940.52,622.0
"2018-03-19","Lunedi",3516.2,550.0
"2018-03-20","Martedi",4537.21,687.0
"2018-03-21","Mercoledi",3514.75,527.0
"2018-03-22","Giovedi",5297.6,847.0
"2018-03-23","Venerdi",6967.79,983.0
"2018-03-24","Sabato",6476.64,880.0
"2018-03-25","Domenica",4974.39,645.0
"2018-03-26","Lunedi",3241.11,499.0
"2018-03-27","Martedi",5006.32,744.0
"2018-03-28","Mercoledi",5396.11,793.0
"2018-03-29","Giovedi",4399.24,645.0
"2018-03-30","Venerdi",5814.79,809.0
"2018-03-31","Sabato",5499.66,716.0
"2018-04-01","Domenica",2216.18,285.0
"2018-04-02","Lunedi",4372.96,566.0
"2018-04-03","Martedi",3528.48,494.0
"2018-04-04","Mercoledi",4060.03,595.0
"2018-04-05","Giovedi",4533.55,656.0
"2018-04-06","Venerdi",7411.04,985.0
"2018-04-07","Sabato",6094.89,799.0
"2018-04-08","Domenica",4372.99,583.0
"2018-04-09","Lunedi",3755.68,555.0
"2018-04-10","Martedi",4190.75,630.0
"2018-04-11","Mercoledi",4165.11,588.0
"2018-04-12","Giovedi",4842.62,698.0
"2018-04-13","Venerdi",7158.18,951.0
"2018-04-14","Sabato",6678.18,879.0
"2018-04-15","Domenica",5728.15,715.0
"2018-04-16","Lunedi",4692.54,654.0
"2018-04-17","Martedi",4959.88,695.0
"2018-04-18","Mercoledi",4806.85,665.0
"2018-04-19","Giovedi",5283.81,769.0
"2018-04-20","Venerdi",6665.91,909.0
"2018-04-21","Sabato",6119.87,827.0
"2018-04-22","Domenica",5712.81,686.0
"2018-04-23","Lunedi",4051.13,616.0
