Data anno corrente,Giorno settimana,Vendite R2,Scontrini R2
2017-01-01,Domenica,9409.06,911.0
2017-01-02,Lunedi,7403.93,735.0
2017-01-03,Martedi,7213.36,723.0
2017-01-04,Mercoledi,8322.75,853.0
2017-01-05,Giovedi,8188.21,799.0
2017-01-06,Venerdi,9748.52,958.0
2017-01-07,Sabato,10997.65,1038.0
2017-01-08,Domenica,8746.71,826.0
2017-01-09,Lunedi,5039.0,557.0
2017-01-10,Martedi,5381.41,598.0
2017-01-11,Mercoledi,6668.44,684.0
2017-01-12,Giovedi,6373.49,658.0
2017-01-13,Venerdi,9280.93,990.0
2017-01-14,Sabato,11756.57,1156.0
2017-01-15,Domenica,8948.53,852.0
2017-01-16,Lunedi,5855.32,660.0
2017-01-17,Martedi,6023.32,652.0
2017-01-18,Mercoledi,7013.96,777.0
2017-01-19,Giovedi,6653.01,697.0
2017-01-20,Venerdi,9337.04,989.0
2017-01-21,Sabato,12009.36,1235.0
2017-01-22,Domenica,9156.85,873.0
2017-01-23,Lunedi,5046.37,580.0
2017-01-24,Martedi,6302.41,689.0
2017-01-25,Mercoledi,6427.15,692.0
2017-01-26,Giovedi,6773.76,755.0
2017-01-27,Venerdi,8835.7,981.0
2017-01-28,Sabato,10909.84,1119.0
2017-01-29,Domenica,9295.4,871.0
2017-01-30,Lunedi,5966.55,641.0
2017-01-31,Martedi,5979.41,626.0
2017-02-01,Mercoledi,6691.48,707.0
2017-02-02,Giovedi,6511.36,712.0
2017-02-03,Venerdi,8763.48,984.0
2017-02-04,Sabato,11207.06,1131.0
2017-02-05,Domenica,7988.86,795.0
2017-02-06,Lunedi,5479.98,616.0
2017-02-07,Martedi,6180.83,677.0
2017-02-08,Mercoledi,6606.3,722.0
2017-02-09,Giovedi,6690.63,732.0
2017-02-10,Venerdi,9930.13,1093.0
2017-02-11,Sabato,11491.89,1175.0
2017-02-12,Domenica,9507.82,916.0
2017-02-13,Lunedi,5261.21,616.0
2017-02-14,Martedi,6943.75,734.0
2017-02-15,Mercoledi,6201.7,725.0
2017-02-16,Giovedi,6706.25,748.0
2017-02-17,Venerdi,8851.41,1005.0
2017-02-18,Sabato,11341.0,1134.0
2017-02-19,Domenica,9286.27,889.0
2017-02-20,Lunedi,5403.32,639.0
2017-02-21,Martedi,5710.68,667.0
2017-02-22,Mercoledi,6483.67,744.0
2017-02-23,Giovedi,6467.24,732.0
2017-02-24,Venerdi,8543.29,976.0
2017-02-25,Sabato,11357.02,1210.0
2017-02-26,Domenica,9391.22,871.0
2017-02-27,Lunedi,6012.91,677.0
2017-02-28,Martedi,6888.06,814.0
2017-03-01,Mercoledi,6808.34,788.0
2017-03-02,Giovedi,6312.61,686.0
2017-03-03,Venerdi,8561.83,982.0
2017-03-04,Sabato,11226.14,1175.0
2017-03-05,Domenica,9090.88,911.0
2017-03-06,Lunedi,5101.15,598.0
2017-03-07,Martedi,5522.74,613.0
2017-03-08,Mercoledi,7246.44,801.0
2017-03-09,Giovedi,5992.55,701.0
2017-03-10,Venerdi,8748.37,955.0
2017-03-11,Sabato,11751.23,1217.0
2017-03-12,Domenica,9169.53,864.0
2017-03-13,Lunedi,5766.91,685.0
2017-03-14,Martedi,5558.19,653.0
2017-03-15,Mercoledi,6389.97,704.0
2017-03-16,Giovedi,7377.14,809.0
2017-03-17,Venerdi,9481.2,1028.0
2017-03-18,Sabato,11774.89,1205.0
2017-03-19,Domenica,11241.28,1007.0
2017-03-20,Lunedi,5943.43,662.0
2017-03-21,Martedi,6091.05,712.0
2017-03-22,Mercoledi,7167.36,770.0
2017-03-23,Giovedi,7249.78,781.0
2017-03-24,Venerdi,9441.81,1012.0
2017-03-25,Sabato,12370.23,1215.0
2017-03-26,Domenica,10601.24,995.0
2017-03-27,Lunedi,6208.32,710.0
2017-03-28,Martedi,6298.9,741.0
2017-03-29,Mercoledi,6599.37,740.0
2017-03-30,Giovedi,6841.85,760.0
2017-03-31,Venerdi,9391.53,1028.0
2017-04-01,Sabato,13029.88,1312.0
2017-04-02,Domenica,9638.78,942.0
2017-04-03,Lunedi,6104.27,684.0
2017-04-04,Martedi,6306.11,677.0
2017-04-05,Mercoledi,6810.79,755.0
2017-04-06,Giovedi,6530.4,760.0
2017-04-07,Venerdi,9087.53,1016.0
2017-04-08,Sabato,13022.51,1287.0
2017-04-09,Domenica,9424.94,919.0
2017-04-10,Lunedi,6522.81,718.0
2017-04-11,Martedi,5574.45,609.0
2017-04-12,Mercoledi,7791.88,875.0
2017-04-13,Giovedi,8716.08,908.0
2017-04-14,Venerdi,8399.09,928.0
2017-04-15,Sabato,10165.87,1069.0
2017-04-16,Domenica,5326.99,565.0
2017-04-17,Lunedi,8875.07,839.0
2017-04-18,Martedi,7331.78,758.0
2017-04-19,Mercoledi,6091.46,672.0
2017-04-20,Giovedi,7303.23,740.0
2017-04-21,Venerdi,9668.11,1070.0
2017-04-22,Sabato,11147.64,1174.0
2017-04-23,Domenica,8963.62,907.0
2017-04-24,Lunedi,8850.79,955.0
2017-04-25,Martedi,9036.22,897.0
2017-04-26,Mercoledi,6019.58,677.0
2017-04-27,Giovedi,6421.55,729.0
2017-04-28,Venerdi,9474.49,1056.0
2017-04-29,Sabato,11242.9,1191.0
2017-04-30,Domenica,9225.54,946.0
2017-05-01,Lunedi,9376.32,897.0
2017-05-02,Martedi,5490.88,593.0
2017-05-03,Mercoledi,5970.34,665.0
2017-05-04,Giovedi,6904.48,716.0
2017-05-05,Venerdi,9374.54,1015.0
2017-05-06,Sabato,10609.27,1092.0
2017-05-07,Domenica,8892.07,863.0
2017-05-08,Lunedi,5907.33,636.0
2017-05-09,Martedi,6138.22,706.0
2017-05-10,Mercoledi,7620.95,755.0
2017-05-11,Giovedi,6840.94,749.0
2017-05-12,Venerdi,9159.59,1025.0
2017-05-13,Sabato,12518.33,1209.0
2017-05-14,Domenica,8862.56,806.0
2017-05-15,Lunedi,6153.43,686.0
2017-05-16,Martedi,5771.11,664.0
2017-05-17,Mercoledi,6175.03,677.0
2017-05-18,Giovedi,6794.09,741.0
2017-05-19,Venerdi,8387.18,944.0
2017-05-20,Sabato,11702.88,1229.0
2017-05-21,Domenica,9467.78,862.0
2017-05-22,Lunedi,5684.84,634.0
2017-05-23,Martedi,5794.53,618.0
2017-05-24,Mercoledi,7282.57,768.0
2017-05-25,Giovedi,6160.75,682.0
2017-05-26,Venerdi,9200.25,996.0
2017-05-27,Sabato,11326.27,1168.0
2017-05-28,Domenica,7434.79,734.0
2017-05-29,Lunedi,5717.94,650.0
2017-05-30,Martedi,5853.88,701.0
2017-05-31,Mercoledi,6448.37,702.0
2017-06-01,Giovedi,7835.19,774.0
2017-06-02,Venerdi,8847.63,916.0
2017-06-03,Sabato,8853.05,927.0
2017-06-04,Domenica,7632.36,751.0
2017-06-05,Lunedi,5965.4,639.0
2017-06-06,Martedi,6079.47,666.0
2017-06-07,Mercoledi,6683.41,713.0
2017-06-08,Giovedi,6528.01,743.0
2017-06-09,Venerdi,8391.68,943.0
2017-06-10,Sabato,8365.82,934.0
2017-06-11,Domenica,6983.3,713.0
2017-06-12,Lunedi,4616.16,549.0
2017-06-13,Martedi,4891.79,541.0
2017-06-14,Mercoledi,5776.14,645.0
2017-06-15,Giovedi,6919.26,735.0
2017-06-16,Venerdi,7831.27,903.0
2017-06-17,Sabato,9129.24,943.0
2017-06-18,Domenica,7231.53,715.0
2017-06-19,Lunedi,5614.74,637.0
2017-06-20,Martedi,5131.61,607.0
2017-06-21,Mercoledi,5305.87,618.0
2017-06-22,Giovedi,5859.6,679.0
2017-06-23,Venerdi,7194.69,781.0
2017-06-24,Sabato,8079.62,909.0
2017-06-25,Domenica,8068.6,820.0
2017-06-26,Lunedi,7013.16,774.0
2017-06-27,Martedi,6296.38,697.0
2017-06-28,Mercoledi,6530.38,704.0
2017-06-29,Giovedi,6547.24,729.0
2017-06-30,Venerdi,7985.32,942.0
2017-07-01,Sabato,10634.34,1188.0
2017-07-02,Domenica,7521.77,801.0
2017-07-03,Lunedi,5698.94,671.0
2017-07-04,Martedi,6786.12,762.0
2017-07-05,Mercoledi,5307.62,664.0
2017-07-06,Giovedi,6369.93,725.0
2017-07-07,Venerdi,7366.28,878.0
2017-07-08,Sabato,7999.14,892.0
2017-07-09,Domenica,7488.65,756.0
