Data anno corrente,Giorno settimana,Vendite R4,Scontrini R4
2017-05-28,Domenica,2111.27,447.0
2017-05-29,Lunedi,2220.61,612.0
2017-05-30,Martedi,2361.35,591.0
2017-05-31,Mercoledi,2437.55,606.0
2017-06-01,Giovedi,2893.54,668.0
2017-06-02,Venerdi,2248.25,532.0
2017-06-03,Sabato,2957.13,672.0
2017-06-04,Domenica,2130.92,458.0
2017-06-05,Lunedi,2504.63,645.0
2017-06-06,Martedi,2197.14,557.0
2017-06-07,Mercoledi,3491.43,754.0
2017-06-08,Giovedi,2262.51,541.0
2017-06-09,Venerdi,2603.35,596.0
2017-06-10,Sabato,3042.53,664.0
2017-06-11,Domenica,2194.99,490.0
2017-06-12,Lunedi,2355.05,565.0
2017-06-13,Martedi,2028.39,547.0
2017-06-14,Mercoledi,2473.0,626.0
2017-06-15,Giovedi,2379.98,577.0
2017-06-16,Venerdi,2530.59,591.0
2017-06-17,Sabato,2869.45,633.0
2017-06-18,Domenica,2670.12,528.0
2017-06-19,Lunedi,2435.51,573.0
2017-06-20,Martedi,2516.64,613.0
2017-06-21,Mercoledi,2249.75,590.0
2017-06-22,Giovedi,2446.85,598.0
2017-06-23,Venerdi,2686.49,633.0
2017-06-24,Sabato,2857.25,660.0
2017-06-25,Domenica,2860.69,575.0
2017-06-26,Lunedi,2628.86,606.0
2017-06-27,Martedi,2559.67,614.0
2017-06-28,Mercoledi,2669.48,634.0
2017-06-29,Giovedi,2584.65,645.0
2017-06-30,Venerdi,3169.07,698.0
2017-07-01,Sabato,3531.81,752.0
2017-07-02,Domenica,2624.21,556.0
2017-07-03,Lunedi,2625.1,668.0
2017-07-04,Martedi,2331.92,596.0
2017-07-05,Mercoledi,2962.0,731.0
2017-07-06,Giovedi,2693.68,687.0
2017-07-07,Venerdi,2567.78,667.0
2017-07-08,Sabato,3137.24,716.0
2017-07-09,Domenica,2736.63,633.0
2017-07-10,Lunedi,2856.06,682.0
2017-07-11,Martedi,2593.99,594.0
2017-07-12,Mercoledi,2790.29,658.0
2017-07-13,Giovedi,2603.35,625.0
2017-07-14,Venerdi,3008.87,677.0
2017-07-15,Sabato,3428.42,779.0
2017-07-16,Domenica,2954.92,610.0
2017-07-17,Lunedi,2730.76,647.0
2017-07-18,Martedi,2596.66,640.0
2017-07-19,Mercoledi,2733.99,656.0
2017-07-20,Giovedi,2563.92,635.0
2017-07-21,Venerdi,3245.33,702.0
2017-07-22,Sabato,3431.52,789.0
2017-07-23,Domenica,2841.0,584.0
2017-07-24,Lunedi,2447.18,575.0
2017-07-25,Martedi,2562.59,637.0
2017-07-26,Mercoledi,2709.42,676.0
2017-07-27,Giovedi,2359.18,551.0
2017-07-28,Venerdi,2659.42,638.0
2017-07-29,Sabato,3315.08,722.0
2017-07-30,Domenica,2628.8,539.0
2017-07-31,Lunedi,2722.02,653.0
2017-08-01,Martedi,2691.56,634.0
2017-08-02,Mercoledi,2537.88,642.0
2017-08-03,Giovedi,2328.12,637.0
2017-08-04,Venerdi,2890.51,702.0
2017-08-05,Sabato,3016.16,725.0
2017-08-06,Domenica,2412.86,541.0
2017-08-07,Lunedi,2164.41,599.0
2017-08-08,Martedi,2497.64,600.0
2017-08-09,Mercoledi,2332.21,591.0
2017-08-10,Giovedi,2420.07,562.0
2017-08-11,Venerdi,3146.21,635.0
2017-08-12,Sabato,3359.84,736.0
2017-08-13,Domenica,2565.74,587.0
2017-08-14,Lunedi,2951.78,708.0
2017-08-15,Martedi,,
2017-08-16,Mercoledi,3289.4,720.0
2017-08-17,Giovedi,2543.52,629.0
2017-08-18,Venerdi,2888.66,695.0
2017-08-19,Sabato,3284.05,701.0
2017-08-20,Domenica,2658.15,577.0
2017-08-21,Lunedi,2730.55,634.0
2017-08-22,Martedi,2628.9,594.0
2017-08-23,Mercoledi,2480.52,582.0
2017-08-24,Giovedi,2605.84,615.0
2017-08-25,Venerdi,2670.06,618.0
2017-08-26,Sabato,3323.41,718.0
2017-08-27,Domenica,2640.37,527.0
2017-08-28,Lunedi,2820.24,634.0
2017-08-29,Martedi,2505.72,588.0
2017-08-30,Mercoledi,2591.08,594.0
2017-08-31,Giovedi,2597.67,576.0
2017-09-01,Venerdi,3378.38,667.0
2017-09-02,Sabato,3280.83,697.0
2017-09-03,Domenica,2664.62,542.0
2017-09-04,Lunedi,3268.07,743.0
2017-09-05,Martedi,3031.91,633.0
2017-09-06,Mercoledi,2954.15,647.0
2017-09-07,Giovedi,2766.95,607.0
2017-09-08,Venerdi,3054.88,658.0
2017-09-09,Sabato,3561.35,725.0
2017-09-10,Domenica,2313.4,468.0
2017-09-11,Lunedi,3452.37,703.0
2017-09-12,Martedi,3171.35,701.0
2017-09-13,Mercoledi,3755.43,758.0
2017-09-14,Giovedi,3463.67,694.0
2017-09-15,Venerdi,4448.08,825.0
2017-09-16,Sabato,3763.11,794.0
2017-09-17,Domenica,2853.77,606.0
2017-09-18,Lunedi,3597.2,748.0
2017-09-19,Martedi,3035.82,720.0
2017-09-20,Mercoledi,3338.44,779.0
2017-09-21,Giovedi,3035.65,673.0
2017-09-22,Venerdi,3710.43,798.0
2017-09-23,Sabato,4035.4,851.0
2017-09-24,Domenica,3161.74,582.0
2017-09-25,Lunedi,3088.18,732.0
2017-09-26,Martedi,2658.01,671.0
2017-09-27,Mercoledi,3149.58,716.0
2017-09-28,Giovedi,2999.93,723.0
2017-09-29,Venerdi,3570.48,788.0
2017-09-30,Sabato,3543.88,709.0
2017-10-01,Domenica,2911.4,574.0
2017-10-02,Lunedi,2827.02,734.0
2017-10-03,Martedi,2803.64,664.0
2017-10-04,Mercoledi,2718.13,677.0
2017-10-05,Giovedi,3159.03,690.0
2017-10-06,Venerdi,3361.1,805.0
2017-10-07,Sabato,3626.09,792.0
2017-10-08,Domenica,2867.87,601.0
2017-10-09,Lunedi,3162.55,732.0
2017-10-10,Martedi,2871.93,672.0
2017-10-11,Mercoledi,2922.68,703.0
2017-10-12,Giovedi,2972.48,689.0
2017-10-13,Venerdi,3320.74,766.0
2017-10-14,Sabato,3875.02,796.0
2017-10-15,Domenica,2731.84,574.0
2017-10-16,Lunedi,2608.65,687.0
2017-10-17,Martedi,3299.92,755.0
2017-10-18,Mercoledi,2929.26,721.0
2017-10-19,Giovedi,3134.93,736.0
2017-10-20,Venerdi,3445.32,775.0
2017-10-21,Sabato,4530.2,860.0
2017-10-22,Domenica,2510.8,553.0
2017-10-23,Lunedi,3232.27,789.0
2017-10-24,Martedi,2847.74,722.0
2017-10-25,Mercoledi,2706.43,651.0
2017-10-26,Giovedi,2840.72,689.0
2017-10-27,Venerdi,3551.64,770.0
2017-10-28,Sabato,3948.51,798.0
2017-10-29,Domenica,3090.26,590.0
2017-10-30,Lunedi,3236.45,765.0
2017-10-31,Martedi,3725.13,820.0
2017-11-01,Mercoledi,2830.52,564.0
2017-11-02,Giovedi,2696.7,630.0
2017-11-03,Venerdi,3010.35,678.0
2017-11-04,Sabato,3681.0,787.0
2017-11-05,Domenica,2332.18,498.0
2017-11-06,Lunedi,2921.67,771.0
2017-11-07,Martedi,2414.62,622.0
2017-11-08,Mercoledi,2811.11,684.0
2017-11-09,Giovedi,2956.61,752.0
2017-11-10,Venerdi,2991.76,718.0
2017-11-11,Sabato,3638.26,806.0
2017-11-12,Domenica,2705.03,553.0
2017-11-13,Lunedi,3075.25,743.0
2017-11-14,Martedi,2805.77,713.0
2017-11-15,Mercoledi,3138.36,761.0
2017-11-16,Giovedi,3333.37,772.0
2017-11-17,Venerdi,3182.98,739.0
2017-11-18,Sabato,4028.77,798.0
2017-11-19,Domenica,2605.86,510.0
2017-11-20,Lunedi,3005.06,723.0
2017-11-21,Martedi,2954.91,735.0
2017-11-22,Mercoledi,2726.56,640.0
2017-11-23,Giovedi,2830.32,657.0
2017-11-24,Venerdi,4102.11,823.0
2017-11-25,Sabato,3698.36,798.0
2017-11-26,Domenica,3327.01,623.0
2017-11-27,Lunedi,3045.13,701.0
2017-11-28,Martedi,3092.17,725.0
2017-11-29,Mercoledi,2900.85,679.0
2017-11-30,Giovedi,3218.99,686.0
2017-12-01,Venerdi,3966.87,946.0
2017-12-02,Sabato,3824.43,847.0
2017-12-03,Domenica,2692.7,562.0
2017-12-04,Lunedi,3148.46,766.0
2017-12-05,Martedi,3114.8,725.0
2017-12-06,Mercoledi,3507.54,767.0
2017-12-07,Giovedi,3485.82,843.0
2017-12-08,Venerdi,2817.25,618.0
2017-12-09,Sabato,3394.19,743.0
