,row ID,Vendite R1,Vendite R2,Vendite R4,Vendite R5,Vendite R6,dayOfWeek,month,year
160,2018-03-03,4300.57,9744.98,3146.31,6321.7,5610.89,Saturday,3,2018
161,2018-03-04,8826.69,9708.74,2810.35,7368.4,5573.9,Sunday,3,2018
162,2018-03-05,4096.38,7424.16,3564.49,4841.46,4409.39,Monday,3,2018
163,2018-03-06,4034.1,6811.13,2751.55,4832.34,4776.47,Tuesday,3,2018
164,2018-03-07,3290.86,6415.9,3037.99,4917.62,4221.44,Wednesday,3,2018
165,2018-03-08,4371.61,8874.56,2745.13,6327.57,5990.26,Thursday,3,2018
166,2018-03-09,4957.72,10614.15,3151.34,6854.54,7044.58,Friday,3,2018
167,2018-03-10,10674.51,13355.34,3868.18,8201.2,6610.35,Saturday,3,2018
168,2018-03-11,8185.09,9931.41,2594.57,6237.63,5225.3,Sunday,3,2018
169,2018-03-12,3227.26,6779.96,3044.48,4239.99,4173.68,Monday,3,2018
170,2018-03-13,3461.14,6436.48,2805.49,4290.29,4519.44,Tuesday,3,2018
171,2018-03-14,3944.55,7258.95,2901.77,5159.56,4489.56,Wednesday,3,2018
172,2018-03-15,3929.03,6881.51,2890.44,5248.45,4941.19,Thursday,3,2018
173,2018-03-16,5893.14,11083.05,3335.57,7596.44,7620.56,Friday,3,2018
174,2018-03-17,11184.22,12696.6,4134.1,8823.87,6867.98,Saturday,3,2018
175,2018-03-18,8012.16,10172.84,2708.07,6708.87,4940.52,Sunday,3,2018
176,2018-03-19,3634.73,7241.5,3149.03,4684.19,3516.2,Monday,3,2018
177,2018-03-20,3705.34,6803.31,3457.59,4626.25,4537.21,Tuesday,3,2018
178,2018-03-21,3334.09,7148.63,3267.37,5180.42,3514.75,Wednesday,3,2018
179,2018-03-22,4407.69,8153.44,3280.43,5653.99,5297.6,Thursday,3,2018
180,2018-03-23,5614.42,10316.36,3502.84,6530.99,6967.79,Friday,3,2018
181,2018-03-24,11073.64,13297.46,4109.43,7939.79,6476.64,Saturday,3,2018
182,2018-03-25,7957.11,10818.29,2867.2,8081.59,4974.39,Sunday,3,2018
183,2018-03-26,3648.38,6844.75,2658.93,4458.71,3241.11,Monday,3,2018
184,2018-03-27,3927.53,6763.38,2863.61,4894.58,5006.32,Tuesday,3,2018
185,2018-03-28,4954.21,7573.18,3851.62,5817.63,5396.11,Wednesday,3,2018
186,2018-03-29,6326.17,9836.3,2866.57,6796.57,4399.24,Thursday,3,2018
187,2018-03-30,6101.12,9718.48,3268.4,6768.76,5814.79,Friday,3,2018
188,2018-03-31,9493.24,10977.74,3245.26,7675.39,5499.66,Saturday,3,2018
189,2018-04-01,2361.32,5943.49,3064.56,3504.49,2216.18,Sunday,4,2018
190,2018-04-02,6482.14,9801.31,2884.9,6662.51,4372.96,Monday,4,2018
191,2018-04-03,4820.89,7648.11,3374.38,5374.32,3528.48,Tuesday,4,2018
192,2018-04-04,3123.61,6185.77,2657.02,4572.72,4060.03,Wednesday,4,2018
193,2018-04-06,5836.42,9746.55,3547.51,7159.13,7411.04,Friday,4,2018
194,2018-04-07,10313.66,13744.43,3445.37,8508.52,6094.89,Saturday,4,2018
195,2018-04-08,6913.3,9310.51,2485.0,5611.14,4372.99,Sunday,4,2018
196,2018-04-09,3715.29,7035.29,2871.51,4793.01,3755.68,Monday,4,2018
197,2018-04-10,4226.04,6951.64,2941.05,4893.25,4190.75,Tuesday,4,2018
198,2018-04-11,3889.28,7622.8,3093.36,5096.49,4165.11,Wednesday,4,2018
199,2018-04-12,4791.07,8269.89,3149.08,5273.41,4842.62,Thursday,4,2018
200,2018-04-13,7096.32,11683.26,3836.03,6522.23,7158.18,Friday,4,2018
201,2018-04-14,11079.58,14311.58,4320.07,7636.44,6678.18,Saturday,4,2018
202,2018-04-15,9628.16,11362.06,2995.07,7587.44,5728.15,Sunday,4,2018
203,2018-04-16,3685.08,7125.15,2800.65,5446.98,4692.54,Monday,4,2018
204,2018-04-17,3732.45,7471.63,3002.63,5943.18,4959.88,Tuesday,4,2018
205,2018-04-18,3623.64,7500.8,3229.33,5734.79,4806.85,Wednesday,4,2018
206,2018-04-19,4652.02,8968.11,3510.86,6272.44,5283.81,Thursday,4,2018
207,2018-04-20,6041.11,11438.07,3764.25,7577.24,6665.91,Friday,4,2018
208,2018-04-21,9100.11,12886.42,3872.61,9177.88,6119.87,Saturday,4,2018
209,2018-04-22,8106.52,9739.62,3397.93,7483.74,5712.81,Sunday,4,2018
210,2018-04-23,3460.24,7039.57,2959.0,4526.34,4051.13,Monday,4,2018
211,2018-04-24,4677.64,7902.79,3481.13,5997.34,5144.09,Tuesday,4,2018
212,2018-04-25,7479.79,10079.86,2812.83,6248.85,4472.53,Wednesday,4,2018
213,2018-04-26,3772.51,6657.44,2883.49,4527.82,4040.75,Thursday,4,2018
214,2018-04-27,6238.08,9994.86,3686.89,7209.81,6288.76,Friday,4,2018
215,2018-04-28,10309.5,12030.84,3807.41,8421.17,5726.35,Saturday,4,2018
216,2018-04-29,9116.35,10057.98,3114.8,7454.39,4748.85,Sunday,4,2018
217,2018-04-30,7138.98,9814.63,3188.72,6601.81,4903.67,Monday,4,2018
218,2018-05-01,7336.0,11512.06,3227.18,6520.94,4905.74,Tuesday,5,2018
219,2018-05-02,3847.32,6220.85,3021.1,4673.36,3783.44,Wednesday,5,2018
220,2018-05-03,3802.41,7457.25,2678.89,4795.29,4165.2,Thursday,5,2018
221,2018-05-04,4853.32,9765.72,3531.53,7387.54,6705.03,Friday,5,2018
222,2018-05-05,10052.19,13169.1,3663.79,9361.05,6456.78,Saturday,5,2018
223,2018-05-06,6710.58,9193.95,2880.95,5904.49,5240.57,Sunday,5,2018
224,2018-05-07,3388.67,6247.1,3083.08,4976.93,5615.06,Monday,5,2018
225,2018-05-08,3588.28,6899.01,2698.28,4664.56,4515.66,Tuesday,5,2018
226,2018-05-09,3854.49,7543.77,2828.02,4827.71,4469.81,Wednesday,5,2018
227,2018-05-10,3976.58,7556.44,3361.83,5560.7,5355.51,Thursday,5,2018
228,2018-05-11,5699.67,11621.37,3578.55,6772.5,5470.2,Friday,5,2018
229,2018-05-12,7687.61,12792.69,4252.78,9447.74,5764.24,Saturday,5,2018
230,2018-05-13,7416.3,10156.81,3035.86,6848.28,4933.21,Sunday,5,2018
231,2018-05-14,3400.9,6849.93,3081.96,5141.24,4141.13,Monday,5,2018
232,2018-05-15,4203.03,7373.8,2808.35,4777.2,8539.28,Tuesday,5,2018
233,2018-05-16,3830.85,8893.71,6746.36,5096.49,4216.71,Wednesday,5,2018
234,2018-05-17,3648.37,7610.51,3345.4,10963.98,4261.76,Thursday,5,2018
235,2018-05-18,5658.23,10475.37,3082.33,7449.95,6959.53,Friday,5,2018
236,2018-05-19,9905.5,13102.56,3734.85,9397.0,5922.75,Saturday,5,2018
237,2018-05-20,7487.55,10544.06,2765.93,7605.33,4811.34,Sunday,5,2018
238,2018-05-21,3296.59,7038.16,2610.0,4728.93,4325.44,Monday,5,2018
239,2018-05-22,3974.77,7052.63,2831.11,5567.74,4760.54,Tuesday,5,2018
240,2018-05-23,3806.69,7396.36,2585.18,5149.58,4629.03,Wednesday,5,2018
241,2018-05-24,3807.01,7361.92,2611.28,5700.65,4518.62,Thursday,5,2018
242,2018-05-25,5972.49,9781.95,3555.65,7727.77,6701.16,Friday,5,2018
243,2018-05-26,8199.99,11614.07,3681.59,8369.03,6072.33,Saturday,5,2018
244,2018-05-27,8025.91,9294.83,2751.33,7763.68,5087.82,Sunday,5,2018
245,2018-05-28,3761.81,6338.13,2642.11,5358.2,4562.87,Monday,5,2018
246,2018-05-29,3754.89,6699.76,2858.74,4958.33,5075.12,Tuesday,5,2018
247,2018-05-30,3815.23,7240.02,2748.93,6023.16,4567.69,Wednesday,5,2018
248,2018-05-31,3856.6,7920.16,3175.34,5684.56,5385.4,Thursday,5,2018
249,2018-06-01,10729.37,11901.65,3747.94,6954.63,6282.86,Friday,6,2018
250,2018-06-02,9036.52,12432.68,3522.85,7505.85,5796.07,Saturday,6,2018
251,2018-06-03,7058.94,9215.64,2833.35,6749.73,5566.05,Sunday,6,2018
252,2018-06-04,4108.58,6287.04,3087.92,4840.89,4004.94,Monday,6,2018
253,2018-06-05,3346.7,6260.16,3024.39,4893.25,4284.68,Tuesday,6,2018
254,2018-06-06,3405.19,6598.55,2575.59,10143.17,4599.36,Wednesday,6,2018
255,2018-06-07,4114.45,8592.38,4171.08,5035.3,4717.53,Thursday,6,2018
256,2018-06-08,7004.99,10593.66,3250.61,8921.55,7447.22,Friday,6,2018
257,2018-06-09,7829.97,11517.24,3147.9,8094.94,5708.14,Saturday,6,2018
258,2018-06-10,7273.18,7411.0,2621.66,7292.13,4164.35,Sunday,6,2018
259,2018-06-11,4138.71,6654.18,2801.03,5032.84,4359.5,Monday,6,2018
260,2018-06-12,4062.12,8107.47,2779.41,5884.07,3868.37,Tuesday,6,2018
261,2018-06-13,4654.48,7690.69,3155.71,5697.78,4927.85,Wednesday,6,2018
262,2018-06-14,4392.02,8371.27,3011.07,5196.29,4028.79,Thursday,6,2018
263,2018-06-15,5349.58,9986.32,3637.67,6761.84,5698.57,Friday,6,2018
264,2018-06-16,7819.33,11533.12,4243.81,8712.83,5300.75,Saturday,6,2018
265,2018-06-17,6743.87,8435.72,2832.46,7009.12,4233.21,Sunday,6,2018
266,2018-06-18,3439.43,6908.36,3145.06,4961.27,3613.5,Monday,6,2018
267,2018-06-19,3131.83,7164.19,3022.14,5179.99,3139.98,Tuesday,6,2018
268,2018-06-20,3799.76,6972.56,3096.09,5861.69,4168.71,Wednesday,6,2018
269,2018-06-21,4215.12,8048.22,3037.16,5549.78,4081.65,Thursday,6,2018
270,2018-06-22,5180.82,9778.28,3546.22,7159.94,5197.18,Friday,6,2018
271,2018-06-23,9287.19,10264.22,4008.58,8819.74,5380.35,Saturday,6,2018
272,2018-06-24,6571.2,8558.71,3057.92,8180.95,5104.04,Sunday,6,2018
273,2018-06-25,4024.82,7019.29,2942.37,6009.84,4160.08,Monday,6,2018
274,2018-06-26,3907.01,6284.99,2589.41,5034.94,3426.57,Tuesday,6,2018
275,2018-06-27,3625.5,6728.89,2975.05,6006.19,4119.6,Wednesday,6,2018
276,2018-06-28,4487.91,7085.59,2695.93,6433.31,3861.21,Thursday,6,2018
277,2018-06-29,5597.42,9937.34,3274.78,6546.78,4830.31,Friday,6,2018
278,2018-06-30,7202.0,10075.43,3830.8,7335.07,4693.08,Saturday,6,2018
279,2018-07-01,7659.28,9776.62,3092.13,7951.11,5166.25,Sunday,7,2018
280,2018-07-02,4137.55,6628.33,2912.4,5128.83,4011.75,Monday,7,2018
281,2018-07-03,4335.33,7144.74,3121.99,5313.74,3834.58,Tuesday,7,2018
282,2018-07-04,4672.64,7157.85,2822.65,5059.75,3260.91,Wednesday,7,2018
283,2018-07-05,4720.18,7830.54,2646.74,5019.54,3831.59,Thursday,7,2018
284,2018-07-06,5913.59,9443.8,3374.95,6971.02,5574.49,Friday,7,2018
285,2018-07-07,7888.91,10325.24,3623.97,8868.09,4836.06,Saturday,7,2018
286,2018-07-08,8202.48,8871.09,2919.13,6638.16,4717.99,Sunday,7,2018
287,2018-07-09,4553.53,6646.93,3108.44,5305.42,3409.07,Monday,7,2018
288,2018-07-10,4990.24,6914.47,3125.67,5737.56,3856.69,Tuesday,7,2018
289,2018-07-11,5245.65,7358.63,3501.18,6130.86,4085.86,Wednesday,7,2018
290,2018-07-12,4679.48,8433.12,2794.35,5394.48,4012.67,Thursday,7,2018
291,2018-07-13,6378.93,9235.37,4023.0,6526.38,4931.15,Friday,7,2018
292,2018-07-14,9140.68,10806.74,3908.19,7933.46,5983.83,Saturday,7,2018
293,2018-07-15,7287.1,9539.59,2893.98,7256.95,4483.53,Sunday,7,2018
294,2018-07-16,5133.67,7401.1,3154.61,5716.26,3718.67,Monday,7,2018
295,2018-07-17,4946.06,7383.61,3072.81,5032.08,3294.82,Tuesday,7,2018
296,2018-07-18,4009.24,6757.07,2807.72,5876.78,3884.79,Wednesday,7,2018
297,2018-07-19,4200.32,7608.32,3027.11,5269.62,4203.65,Thursday,7,2018
298,2018-07-20,5537.91,10515.21,3475.8,7863.53,4913.41,Friday,7,2018
299,2018-07-21,11343.91,11734.67,4131.83,8747.9,5687.36,Saturday,7,2018
300,2018-07-22,8685.53,9320.23,3162.26,7399.81,4725.62,Sunday,7,2018
301,2018-07-23,4615.17,6449.97,3215.77,5705.81,3861.63,Monday,7,2018
302,2018-07-24,4350.13,6811.63,3036.29,5182.47,3620.44,Tuesday,7,2018
303,2018-07-25,4307.4,6825.95,2895.91,5058.43,3404.41,Wednesday,7,2018
304,2018-07-26,4242.76,6865.85,2499.75,5543.82,3983.8,Thursday,7,2018
305,2018-07-27,6459.35,9497.98,3389.31,7484.01,5624.97,Friday,7,2018
306,2018-07-28,7549.82,10363.22,3545.15,8156.71,5508.78,Saturday,7,2018
307,2018-07-29,8056.25,9571.04,3216.27,7395.16,4880.64,Sunday,7,2018
308,2018-07-30,3869.76,6066.58,2870.31,5481.46,2936.58,Monday,7,2018
309,2018-07-31,4128.9,6900.25,2944.94,5851.21,3609.86,Tuesday,7,2018
310,2018-08-01,4355.98,7621.03,2841.54,6227.72,3840.62,Wednesday,8,2018
311,2018-08-02,4546.3,7379.76,2421.68,5578.29,3863.15,Thursday,8,2018
312,2018-08-03,5977.0,9197.11,3270.59,6691.65,4605.56,Friday,8,2018
313,2018-08-04,8061.68,10457.33,3608.12,7685.0,4953.67,Saturday,8,2018
314,2018-08-05,6939.15,8728.24,2696.51,7239.87,4570.04,Sunday,8,2018
