"row ID","Vendite R1","Vendite R2","Vendite R4","Vendite R5","Vendite R6"
"2017-12-28",7294.45,8940.95,3448.55,6125.54,4081.52
"2017-12-29",6796.46,9809.4,3306.01,6953.19,4054.98
"2017-12-30",9452.56,11039.66,4050.75,6644.62,5394.3
"2017-12-31",3201.77,2829.45,2164.3,1936.58,1212.31
"2018-01-01",7066.7,11810.11,2884.9,6613.39,4954.5
"2018-01-02",5810.33,8321.91,3260.1,5114.86,3727.63
"2018-01-03",5884.99,7757.89,2706.61,5275.65,3785.94
"2018-01-04",6472.63,8687.78,2554.5,6118.53,4216.88
"2018-01-05",7648.11,11041.07,2895.44,7006.35,5231.98
"2018-01-06",11340.1,12899.37,2894.71,7693.4,4656.86
"2018-01-07",8494.54,10769.31,2469.75,7458.06,5485.86
"2018-01-08",3467.94,6499.42,2680.04,4157.7,3122.16
"2018-01-09",3887.98,6583.85,2765.7,4462.97,4277.33
"2018-01-10",4008.03,7274.56,2746.45,4772.19,4108.57
"2018-01-11",4129.93,7173.31,2562.93,5250.48,4638.22
"2018-01-12",6342.45,12082.39,3257.31,7697.01,7166.6
"2018-01-13",12433.69,14752.73,4173.5,10011.15,7288.65
"2018-01-14",8612.8,11154.75,2975.06,6799.87,4662.33
"2018-01-15",3644.1,6850.76,3138.36,4567.89,4112.8
"2018-01-16",4192.05,7202.74,3007.66,4924.94,3996.11
"2018-01-17",4004.56,8656.5,3243.98,5178.47,4635.03
"2018-01-18",4410.01,8068.41,3065.98,5135.04,4329.15
"2018-01-19",4893.18,10681.96,3670.24,7118.07,7612.37
"2018-01-20",10613.1,14556.59,4435.82,9946.35,6591.52
"2018-01-21",7910.86,10831.48,3039.77,7133.24,4896.67
"2018-01-22",3678.53,6652.36,3289.15,4732.49,4148.21
"2018-01-23",3663.95,7037.93,3000.37,5171.74,3829.89
"2018-01-24",3884.85,8048.29,3339.94,5147.16,4259.88
"2018-01-25",4427.61,8555.12,3209.48,6521.59,5757.86
"2018-01-26",5549.85,11395.18,3263.57,7538.33,6819.95
"2018-01-27",10495.95,14665.72,4085.92,9462.83,6306.36
"2018-01-28",8330.39,10588.14,2892.53,6502.01,4605.31
"2018-01-29",2981.7,6335.78,3398.42,4156.76,3429.7
"2018-01-30",3408.43,6388.99,2586.57,4794.47,4363.81
"2018-01-31",3647.67,6592.43,2806.37,4807.55,4134.37
"2018-02-01",3561.89,7427.7,3052.66,5929.74,4482.7
"2018-02-02",5590.96,10724.48,3265.27,6826.85,7751.07
"2018-02-03",9567.06,13089.05,4417.36,9994.02,6598.29
"2018-02-04",7576.05,10726.9,2730.04,7139.73,5365.04
"2018-02-05",2957.25,6926.55,3171.16,4045.06,3563.65
"2018-02-06",2882.22,7470.31,2909.65,4250.17,3857.58
"2018-02-07",3542.97,6807.24,2767.02,4943.47,4650.45
"2018-02-08",4053.37,8007.58,2868.81,5837.41,5570.57
"2018-02-09",5352.62,10906.91,3285.81,7562.6,7011.67
"2018-02-10",10681.09,13955.44,3875.23,9086.1,7095.59
"2018-02-11",8536.33,11140.07,3217.23,6982.11,6662.74
"2018-02-12",5627.28,7050.22,3079.51,5415.05,3665.18
"2018-02-13",5365.25,6942.81,2673.49,4811.39,3874.61
"2018-02-14",4162.48,7963.88,3534.6,6104.03,4954.75
"2018-02-15",3814.76,7930.15,3096.84,5456.57,4131.6
"2018-02-16",5425.5,10640.83,3712.38,7544.66,6351.82
"2018-02-17",10573.13,14520.13,3718.33,8413.05,6176.8
"2018-02-18",8589.23,10561.15,2866.43,7429.24,5375.0
"2018-02-19",3132.06,6827.58,3255.27,4311.07,3930.88
"2018-02-20",3849.66,6753.71,3256.23,4610.12,4115.43
"2018-02-21",3951.56,6870.66,3065.92,5786.72,4383.54
"2018-02-22",3457.84,7174.27,3133.22,5685.22,4261.25
"2018-02-23",4884.72,10450.8,3034.2,7014.83,6031.91
"2018-02-24",10912.22,13290.3,3829.25,8990.61,6514.28
"2018-02-25",5508.98,8862.68,2691.88,6362.59,4081.97
"2018-02-26",3576.23,6806.7,3077.52,4671.65,4707.7
"2018-02-27",3644.76,6667.65,2886.86,4742.4,5161.67
"2018-02-28",3811.24,7967.52,3267.2,5581.18,5982.83
"2018-03-01",3856.6,5024.43,2694.45,4028.68,4578.04
"2018-03-02",5077.43,9287.99,3133.97,5457.81,6559.28
"2018-03-03",4300.57,9744.98,3146.31,6321.7,5610.89
"2018-03-04",8826.69,9708.74,2810.35,7368.4,5573.9
